genename	element
GRMZM2G155767	TF
GRMZM2G423423	TF
GRMZM2G077147	TF
GRMZM2G047038	TF
GRMZM2G133169	TF
GRMZM2G019806	TF
GRMZM2G017087	TF
GRMZM2G000743	TF
GRMZM2G092091	TF
GRMZM2G178261	TF
GRMZM2G396114	TF
GRMZM2G169825	TF
GRMZM2G396451	TF
GRMZM2G301089	TF
GRMZM2G018487	TF
GRMZM2G460594	TF
GRMZM2G003489	TF
GRMZM2G177974	TF
GRMZM2G032339	TF
GRMZM2G087095	TF
GRMZM2G143204	TF
GRMZM2G008029	TF
GRMZM2G050512	TF
GRMZM2G174083	TF
GRMZM2G306024	TF
GRMZM2G124540	TF
GRMZM2G108865	TF
GRMZM2G177046	TF
GRMZM2G028151	TF
GRMZM2G356718	TF
GRMZM2G135447	TF
GRMZM2G163251	TF
GRMZM2G463730	TF
GRMZM2G065374	TF
GRMZM2G115516	TF
GRMZM2G433557	TF
GRMZM2G011385	TF
GRMZM2G119357	Coreg
GRMZM5G800112	Coreg
AC210173.4_FG002	Coreg
GRMZM2G131618	Coreg
GRMZM2G135849	Coreg
GRMZM2G163436	Coreg
GRMZM2G077428	Coreg
GRMZM2G086138	Coreg
GRMZM2G417089	Coreg
GRMZM2G366373	Coreg
GRMZM2G342105	Coreg
GRMZM2G123159	Coreg
AC230023.2_FG003	Coreg
AC230023.2_FG004	Coreg
AC230023.2_FG002	Coreg
GRMZM5G857210	Coreg
AC233785.2_FG005	Coreg
GRMZM2G071025	Coreg
GRMZM2G359217	Coreg
GRMZM2G159285	Coreg
GRMZM2G173852	Coreg
GRMZM5G813111	Coreg
GRMZM2G437711	Coreg
GRMZM2G099305	Coreg
GRMZM5G886709	Coreg
GRMZM5G817934	Coreg
GRMZM2G110295	TF
GRMZM2G132971	TF
GRMZM2G019446	TF
GRMZM2G016150	TF
GRMZM5G870592	TF
GRMZM2G164082	TF
GRMZM2G137358	TF
GRMZM2G151266	TF
GRMZM2G382794	TF
GRMZM2G138340	TF
GRMZM2G027068	TF
GRMZM2G347043	TF
GRMZM2G009598	TF
AC225147.4_FG003	TF
GRMZM5G862109	TF
GRMZM2G017470	TF
GRMZM2G093725	TF
GRMZM2G093776	TF
GRMZM2G054517	TF
GRMZM2G368909	TF
GRMZM2G159766	TF
GRMZM2G123876	TF
GRMZM2G156756	TF
GRMZM2G156543	TF
GRMZM2G114775	TF
GRMZM2G470422	TF
GRMZM2G170137	TF
GRMZM2G155980	TF
GRMZM2G083964	TF
GRMZM2G115456	TF
GRMZM2G083717	TF
GRMZM2G023557	TF
GRMZM2G381441	TF
GRMZM2G471108	TF
GRMZM2G415077	TF
GRMZM2G115070	TF
GRMZM2G476752	TF
GRMZM2G018254	TF
GRMZM2G359599	TF
GRMZM5G895672	TF
GRMZM2G073823	TF
GRMZM2G073805	TF
GRMZM2G073779	TF
GRMZM5G868355	TF
GRMZM2G163427	TF
GRMZM2G048136	TF
AC204621.4_FG006	TF
GRMZM2G131442	TF
GRMZM2G055024	TF
GRMZM2G106336	TF
GRMZM2G106356	TF
GRMZM2G441115	TF
