genename	element
SCCCRT3007A07.g	TF
SCSFRT2071B03.g	TF
PTSo00870.1	TF
SCCCAM2001D09.g	TF
PTSo00848.1	TF
SCBFRZ2017F01.g	TF
SCUTAM2005H01.g	TF
SCBGRT1046D12.g	TF
SCMCCL6052D03.g	TF
SCCCCL3001D02.g	TF
SCCCLR2003E10.g	TF
SCMCRT2102H03.g	TF
PTSo00847.1	TF
SCCCCL5003C09.g	TF
SCEZRZ3016A08.g	TF
SCRLFL3006G02.g	TF
SCCCST3005F09.g	TF
PTSo00436.1	TF
PTSo00985.1	TF
PTSo00019.1	TF
SCVPAM2064H11.g	TF
SCJLRT3077A12.g	TF
PTSo00788.1	TF
SCBFRT1065D08.g	TF
PTSo00272.1	TF
PTSo01052.1	TF
PTSo00099.1	TF
SCRFFL5042B01.g	TF
SCEZRZ3095B02.g	TF
SCBGLR1099G02.g	TF
SCCCCL4001A01.g	TF
SCCCLR1069E11.g	TF
SCACLR1057C07.g	TF
PTSo01017.1	TF
SCCCLR1068E05.g	TF
SCEZAM2035A03.g	TF
SCUTAM2008F01.g	TF
SCSFFL8044H04.g	TF
PTSo01168.1	TF
PTSo00395.1	TF
SCCCCL4009H08.g	TF
PTSo00383.1	TF
SCEPFL4173E10.g	TF
SCQSRT2036F07.g	TF
SCCCCL4002B07.g	TF
SCJFRZ3C04A11.g	TF
SCCCSB1002A01.g	TF
PTSo00122.1	TF
PTSo00836.1	TF
SCACCL6011A06.g	TF
PTSo01034.1	TF
SCSFSB1099C10.g	TF
PTSo00576.1	TF
PTSo00377.1	TF
PTSo00368.1	TF
PTSo00360.1	TF
PTSo00779.1	TF
SCSGHR1070C04.g	TF
SCEPRT2048G05.g	TF
SCQSRT2033A10.g	TF
SCCCCL3001G03.g	TF
SCSGAM2102F05.g	TF
SCVPRT2074E11.g	TF
PTSo00370.1	TF
SCCCCL5072B05.g	TF
PTSo00841.1	TF
PTSo01145.1	TF
SCAGLB1071F05.g	TF
PTSo00543.1	TF
PTSo00551.1	TF
PTSo00363.1	TF
SCBGLR1118D05.g	TF
SCUTFL1055H03.g	TF
SCCCRZ1C01C08.g	TF
SCMCAM1100C10.b	TF
PTSo00345.1	TF
SCCCLB2010A10.g	TF
PTSo01096.1	TF
SCQSLB1050H04.g	TF
PTSo00571.1	TF
SCQSRT2032B08.g	TF
SCRFLR1012E09.g	TF
SCVPLR2012G10.g	TF
SCVPRZ3031E09.g	TF
PTSo01029.1	TF
SCJFSB1012B12.b	TF
PTSo00287.1	TF
SCEQAM2037D09.g	TF
SCQGRZ3013H11.g	TF
PTSo00384.1	TF
SCUTRZ3106F10.g	TF
PTSo00921.1	Coreg
SCEZRZ3094E09.g	Coreg
SCBFAM2021C11.g	Coreg
SCEPCL6029A04.g	Coreg
SCMCST1051D09.g	TF
PTSo00525.1	TF
